Mon Aug 15 16:20:32 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  300 0.03 1000   97 0.17 0.24   95%  196  180  180
   2   20  300 0.03 1000   21 0.17  0.2   80%  119  108  113
   3   20  300 0.02 1000  448 0.17 0.17   96%  202  185  185
   4   20  300 0.03 1000  268 0.17 0.49   80%  144  130  132
   5   20  300 0.02 1000  171 0.13 0.46   84%  164  146  149
   6   20  300 0.03 1000   67 0.14 0.39   88%  222  201  206
   7   20  300 0.03 1000  216 0.17 0.28   79%  161  143  153
   8   20  300 0.03 1000   42 0.15 0.76   87%  149  135  136
   9   20  300 0.02 1000  245 0.17 0.68   83%  190  176  177
  10   20  300 0.02 1000   42 0.42  0.7   90%  213  195  197
  11   40  300 0.06 1000  316 0.35 0.34   79%  247  232  232
  12   40  300 0.05 1000  746 0.36 0.43   80%  315  298  298
  13   40  300 0.05 1000  346 0.43 0.55   82%  408  385  385
  14   40  300 0.05 1000  173 0.44 0.46   83%  367  348  348
  15   40  300 0.05 1000  649 0.51 0.39   90%  420  397  397
  16   40  300 0.05 1000  624 0.42 0.43   89%  314  293  293
  17   40  300 0.05 1000  596 0.37 0.35   87%  320  303  303
  18   40  300 0.05 1000  870  0.4 0.35   80%  442  417  417
  19   40  300 0.06 1000  318 0.38 0.43   85%  302  280  280
  20   40  300 0.05 1000  420 0.29 0.44   87%  303  282  282
  21   60  300 0.09 1000  196 0.74 0.73   80%  601  569  569
  22   60  300 0.09 1000  694 0.79 0.76   83%  505  481  481
  23   60  300 0.09 1000  296 0.79 0.71   74%  536  516  516
  24   60  300 0.09 1000  422 0.82 0.78   78%  552  517  517
  25   60  300 0.09 1000  997 0.65 0.85   81%  478  456  456
  26   60  300 0.09 1000  296 0.76 1.01   83%  493  463  463
  27   60  300 0.09 1000  522  0.8 0.81   80%  434  416  416
  28   60  300  0.1 1000  597 0.71 0.91   80%  565  537  537
  29   60  300 0.09 1000  697  0.7 0.72   78%  510  484  484
  30   60  300 0.07 1000   75 0.76 0.96   80%  650  612  612
  31   80  300 0.15 1000  198 1.24  1.7   77%  664  635  635
  32   80  300 0.12 1000  318 1.28 1.67   75%  702  670  670
  33   80  300 0.13 1000  167 1.31 1.65   77%  677  651  651
  34   80  300 0.14 1000  743 1.53 1.68   80%  713  682  682
  35   80  300 0.14 1000   43 1.27 1.59   79%  692  655  655
  36   80  300 0.14 1000  269 1.29 1.75   78%  757  720  720
  37   80  300 0.13 1000  799 1.23 2.07   79%  799  759  759
  38   80  300 0.13 1000  924 1.58 1.67   74%  805  763  763
  39   80  300 0.13 1000  273 1.34 1.53   81%  816  782  782
  40   80  300 0.15 1000  574 1.19 1.42   77%  711  680  680
  41  100  300 0.19 1000  997  1.6 3.31   72%  784  753  753
  42  100  300 0.19 1000  518 1.98 2.99   71%  916  873  873
  43  100  300 0.19 1000  223 1.93 3.04   68%  771  741  741
  44  100  300  0.2 1000  971 1.74 2.62   72%  832  801  801
  45  100  300  0.2 1000  421 1.95 2.95   75%  890  848  848
  46  100  300 0.19 1000  798 2.26 2.65   76% 1011  967  967
  47  100  300 0.19 1000  298 2.02 2.79   69%  807  771  771
  48  100  300 0.19 1000  821 2.07  2.9   68%  917  877  877
  49  100  300 0.19 1000  918 2.11 3.51   68%  868  831  831
  50  100  300 0.19 1000  298 2.16 3.49   67% 1017  976  976

Fri Sep 30 18:07:00 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 300 188 3.68 100000 19475 0 0 5.36 0 0 
2 20 300 115 4.27 100000 956 0 0 0 0 0 
3 20 300 194 3.74 100000 41637 0 0 2.66 0 0 
4 20 300 139 4.27 100000 31697 0 0 0 0 0 
5 20 300 161 4.34 100000 454 0 0 0 0 0 
6 20 300 215 3.9 100000 3005 0 0.01 0 0 0 
7 20 300 161 4.03 100000 49 0 0 0 0 0 
8 20 300 144 3.93 100000 8146 0 0 0 0 0 
9 20 300 187 3.76 100000 5419 0 0 0 0 0 
10 20 300 203 3.81 100000 25277 0 0 0 0 0 
11 40 300 241 8.56 100000 12838 0 0 2.21 0 0 
12 40 300 308 8.41 100000 369 0 0 0 0 0 
13 40 300 400 8.22 100000 64213 0 0 1.31 0 0 
14 40 300 359 7.64 100000 28305 0 0 0 0 0 
15 40 300 412 8.22 100000 84623 0 0 0 0 0 
16 40 300 304 8.17 100000 22117 0 0 0 0 0 
17 40 300 310 8.48 100000 96597 0 0 0 0 0 
18 40 300 433 7.57 100000 60985 0 0 0 0 0 
19 40 300 294 8.66 100000 60010 0 0 0 0 0 
20 40 300 295 9.2 100000 2143 0 0 0 0 0 
21 60 300 587 12.74 100000 56909 0 0 1.71 0 0 
22 60 300 497 13.41 100000 59787 0 0 0.59 0 0 
