Mon Aug 15 16:23:58 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  100 0.02 1000  644 0.16 1.31   98%  512  485  485
   2   20  100 0.02 1000  796 0.04 0.46   93%  513  487  487
   3   20  100 0.02 1000  568 0.15  0.3   91%  472  442  442
   4   20  100 0.02 1000  248 0.13 0.52   95%  556  501  501
   5   20  100 0.03 1000  374  0.1 0.24   85%  461  418  418
   6   20  100 0.02 1000  391 0.13 0.14   96%  503  476  476
   7   20  100 0.03 1000  742 0.09  0.2   89%  368  340  340
   8   20  100 0.02 1000   72 0.13 1.92   88%  453  420  421
   9   20  100 0.02 1000  648 0.12 0.73   90%  538  499  510
  10   20  100 0.03 1000   20  0.1 0.22   87%  331  311  311
  11   40  100 0.04 1000  899 0.15 0.11   69% 1056  968  968
  12   40  100 0.04 1000  449  0.4 0.78   91% 1139 1068 1068
  13   40  100 0.05 1000  246 0.32 0.36   86%  935  893  893
  14   40  100 0.05 1000  742 0.35 1.16   86% 1075 1000 1000
  15   40  100 0.05 1000  268 0.27 0.43   85%  770  727  727
  16   40  100 0.04 1000  569 0.33 0.27   81% 1008  951  951
  17   40  100 0.05 1000  898 0.32 0.62   84%  944  887  887
  18   40  100 0.04 1000  119 0.32 0.72   83% 1000  924  924
  19   40  100 0.04 1000  449 0.39 0.59   83%  825  772  772
  20   40  100 0.04 1000  116 0.33 1.02   90% 1140 1057 1057
  21   60  100 0.08 1000  849 0.62 1.46   82% 1551 1459 1459
  22   60  100 0.08 1000  692 0.53 0.95   76% 1503 1436 1436
  23   60  100 0.08 1000  144 0.74 1.46   85% 1489 1405 1405
  24   60  100 0.08 1000  598 0.53 0.77   76% 1303 1246 1246
  25   60  100 0.07 1000 1000 0.45 1.36   78% 1281 1219 1219
  26   60  100 0.08 1000  400 0.62  1.3   78% 1359 1293 1293
  27   60  100 0.08 1000  668 0.54 1.35   81% 1293 1215 1215
  28   60  100 0.07 1000  250  0.6 1.23   79% 1558 1470 1470
  29   60  100 0.08 1000  296 0.58 1.68   84% 1451 1367 1367
  30   60  100 0.07 1000  324 0.53 1.07   80% 1577 1499 1499
  31   80  100 0.12 1000  923 0.88  2.5   67% 1930 1836 1836
  32   80  100 0.12 1000  445 0.93 3.54   74% 2083 1938 1938
  33   80  100 0.12 1000  197 0.99 1.71   74% 1816 1732 1732
  34   80  100 0.11 1000  324 0.75 2.41   75% 1801 1719 1719
  35   80  100 0.11 1000  375  0.7 3.15   70% 2323 2212 2212
  36   80  100 0.11 1000  947 0.83 2.58   75% 1982 1872 1872
  37   80  100 0.11 1000  474 0.87 2.87   80% 1977 1895 1895
  38   80  100 0.11 1000  523 1.51 2.38   76% 2054 1943 1943
  39   80  100 0.11 1000  818 1.06 2.91   74% 1991 1884 1884
  40   80  100 0.11 1000  373  1.2  3.1   68% 2186 2083 2083
  41  100  100 0.16 1000  418  1.3 5.68   65% 2388 2270 2270
  42  100  100 0.16 1000  795 1.29 3.31   62% 2378 2285 2285
  43  100  100 0.16 1000  894 1.22 3.35   65% 2156 2064 2064
  44  100  100 0.15 1000  375 1.75 5.13   67% 2710 2546 2546
  45  100  100 0.16 1000  543 1.57 5.06   67% 2538 2412 2412
  46  100  100 0.16 1000  672 1.26 3.68   65% 2361 2260 2260
  47  100  100 0.16 1000  797 1.52 4.72   65% 2398 2259 2259
  48  100  100 0.16 1000  195  1.6 5.35   64% 2591 2452 2452
  49  100  100 0.16 1000  399 1.59 4.86   63% 2473 2344 2344
  50  100  100 0.14 1000  970 1.82 5.86   66% 2908 2739 2739

Fri Sep 30 18:24:59 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 503 2.88 100000 12612 0 0 6.55 0 0 
2 20 100 507 2.45 100000 3323 0 0 0 0 0 
3 20 100 467 2.89 100000 44983 0 0 3.55 0 0 
4 20 100 528 2.87 100000 46585 0 0 0 0 0 
5 20 100 443 3.21 100000 6733 0 0 0 0 0 
6 20 100 498 2.88 100000 91251 0 0 0 0 0 
7 20 100 361 3.1 100000 311 0 0 0 0 0 
8 20 100 444 3.09 100000 118 0 0 0 0 0 
9 20 100 537 2.74 100000 41031 0 0 0 0 0 
10 20 100 328 3.42 100000 504 0 0 0 0 0 
11 40 100 990 5.52 100000 12855 0 0 3.42 0 0 
12 40 100 1106 5.59 100000 62728 0 0 1.93 0 0 
13 40 100 911 6.13 100000 39796 0 0 0 0 0 
14 40 100 1027 6.13 100000 52077 0 0 0 0 0 
15 40 100 753 6.86 100000 7036 0 0 0 0 0 
16 40 100 985 5.85 100000 6376 0 0 0 0 0 
17 40 100 928 6.2 100000 97900 0 0 0 0 0 
18 40 100 964 5.52 100000 91426 0 0 0 0 0 
19 40 100 804 5.73 100000 32588 0 0 0 0 0 
20 40 100 1101 5.8 100000 41017 0 0 0 0 0 
21 60 100 1514 10 100000 63763 0 0 2.21 0 0 
22 60 100 1488 9.8 100000 5084 0 0 0 0 0 
23 60 100 1449 9.86 100000 86989 0 0 0.99 0 0 
24 60 100 1291 10.53 100000 85171 0 0 0 0 0 
25 60 100 1261 10.01 100000 50337 0 0 0 0 0 
26 60 100 1346 9.21 100000 35187 0 0 0 0 0 
27 60 100 1263 10.8 100000 28435 0 0 0 0 0 
28 60 100 1523 9.19 100000 29700 0 0 0 0 0 
29 60 100 1412 9.87 100000 69190 0 0 0 0 0 
30 60 100 1542 9.97 100000 65873 0 0 0 0 0 
31 80 100 1896 13.9 100000 44641 0 0 1.54 0 0 
32 80 100 1992 14.25 100000 345 0 0 0 0 0 
33 80 100 1790 14.72 100000 3599 0 0 0 0 0 
34 80 100 1778 14.73 100000 41119 0 0 0 0 0 
35 80 100 2280 13.25 100000 55735 0 0 0 0 0 
36 80 100 1933 13.46 100000 41223 0 0 0 0 0 
37 80 100 1953 14.03 100000 40928 0 0 0 0 0 
38 80 100 2002 13.65 100000 19468 0 0 0 0 0 
39 80 100 1953 14.01 100000 997 0 0 0 0 0 
40 80 100 2153 13.31 100000 60966 0 0 0 0 0 
41 100 100 2331 19.1 100000 33929 0 0 1.09 0 0 
42 100 100 2345 19.72 100000 10863 0 0 0 0 0 
43 100 100 2116 19.6 100000 45896 0 0 0.35 0 0 
44 100 100 2634 18.41 100000 81858 0 0 0 0 0 
45 100 100 2473 18.4 100000 31686 0 0 0 0 0 
46 100 100 2318 19.85 100000 39934 0 0 0 0 0 
47 100 100 2324 18.73 100000 36708 0 0 0 0 0 
48 100 100 2531 18.77 100000 24134 0 0 0 0 0 
49 100 100 2401 18.78 100000 60725 0 0 0 0 0 
50 100 100 2815 17.45 100000 77700 0 0 0 0 0 

Thu Oct  6 19:22:56 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 511 0.66 10000 3246 0 0 24.5 0 0 
2 20 100 513 0.59 10000 4508 0 0 12.1 0 0 
3 20 100 469 0.67 10000 2067 0 0 0 0 0 
4 20 100 533 0.64 10000 6435 0 0 0 0 0 
5 20 100 449 0.71 10000 9586 0 0 0 0 0 
6 20 100 501 0.63 10000 5029 0 0 0 0 0 
7 20 100 361 0.7 10000 1291 0 0 0 0 0 
8 20 100 446 0.68 10000 4699 0 0 0 0 0 
9 20 100 538 0.64 10000 1171 0 0 0 0 0 
10 20 100 328 0.75 10000 1419 0 0 0 0 0 
11 40 100 1012 1.26 10000 7763 0 0 14.21 0 0 
12 40 100 1107 1.3 10000 3343 0 0 0 0 0 
13 40 100 926 1.39 10000 186 0 0 0 0 0 
14 40 100 1031 1.39 10000 3655 0 0 0 0 0 
15 40 100 758 1.52 10000 1198 0 0 0 0 0 
16 40 100 993 1.35 10000 8081 0 0 0 0 0 
17 40 100 935 1.38 10000 4801 0 0 0 0 0 
18 40 100 979 1.28 10000 1956 0 0 0 0 0 
19 40 100 808 1.34 10000 4315 0 0 0 0 0 
20 40 100 1111 1.34 10000 3281 0 0 0 0 0 
21 60 100 1522 2.22 10000 7902 0 0 8.08 0 0 
22 60 100 1496 2.15 10000 1281 0 0 0 0 0 
23 60 100 1459 2.13 10000 6790 0 0 0 0 0 
24 60 100 1306 2.3 10000 156 0 0 0 0 0 
25 60 100 1263 2.19 10000 8316 0 0 0 0 0 
26 60 100 1350 2.08 10000 2078 0 0 0 0 0 
27 60 100 1269 2.34 10000 4252 0 0 0 0 0 
28 60 100 1523 2.07 10000 9203 0 0 0 0 0 
29 60 100 1414 2.2 10000 6776 0 0 0 0 0 
30 60 100 1544 2.2 10000 8450 0 0 0 0 0 
31 80 100 1904 2.98 10000 2275 0 0 5.18 0 0 
32 80 100 1994 3.04 10000 384 0 0 0 0 0 
33 80 100 1791 3.11 10000 1996 0 0 0 0 0 
34 80 100 1790 3.07 10000 2426 0 0 0 0 0 
35 80 100 2289 2.85 10000 5214 0 0 0 0 0 
36 80 100 1937 2.93 10000 371 0 0 0 0 0 
37 80 100 1963 3.05 10000 6355 0 0 0 0 0 
38 80 100 2011 2.88 10000 8594 0 0 0 0 0 
39 80 100 1954 2.95 10000 2989 0 0 0 0 0 
40 80 100 2164 2.86 10000 1350 0 0 0 0 0 
41 100 100 2342 4.03 10000 1796 0 0 3.71 0 0 
42 100 100 2357 4.05 10000 2959 0 0 1.74 0 0 
43 100 100 2118 4.05 10000 963 0 0 0 0 0 
44 100 100 2655 3.8 10000 5172 0 0 0 0 0 
45 100 100 2484 3.8 10000 8314 0 0 0 0 0 
46 100 100 2320 4.03 10000 4732 0 0 0 0 0 
47 100 100 2337 3.79 10000 4348 0 0 0 0 0 
48 100 100 2533 3.83 10000 6489 0 0 0 0 0 
49 100 100 2413 3.85 10000 5619 0 0 0 0 0 
50 100 100 2832 3.68 10000 9963 0 0 0 0 0 

Sun Oct  9 20:33:02 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 506 1.87 10000 43 0 0 4.02 0 0 
2 20 100 516 1.74 10000 9005 0 0 5.23 0 0 
3 20 100 474 1.75 10000 51 0 0 0 0 0 
4 20 100 552 1.72 10000 3 0 0 0 0 0 
5 20 100 462 1.69 10000 2523 0 0 0 0 0 
6 20 100 498 1.83 10000 9193 0 0 0 0 0 
7 20 100 363 1.53 10000 8 0 0 0 0 0 
8 20 100 441 1.59 10000 208 0 0 0 0 0 
9 20 100 549 1.73 10000 227 0 0 0 0 0 
10 20 100 331 1.63 10000 822 0 0 0 0 0 
11 40 100 1022 4.96 10000 6060 0 0 3.51 0 0 
12 40 100 1140 4.84 10000 2045 0 0 0 0 0 
13 40 100 930 4.78 10000 2321 0 0 0 0 0 
14 40 100 1045 4.58 10000 7044 0 0 0 0 0 
15 40 100 763 4.76 10000 3508 0 0 0 0 0 
16 40 100 989 4.61 10000 5469 0 0 0 0 0 
17 40 100 937 4.61 10000 4344 0 0 0 0 0 
18 40 100 983 4.95 10000 1892 0 0 0 0 0 
19 40 100 826 4.81 10000 848 0 0 0 0 0 
20 40 100 1110 4.64 10000 9989 0 0 0 0 0 
21 60 100 1535 8.9 10000 1888 0 0 1.69 0 0 
22 60 100 1473 9.39 10000 1702 0 0 0 0 0 
23 60 100 1456 9.22 10000 8180 0 0 0.91 0 0 
24 60 100 1293 8.68 10000 5451 0 0 0 0 0 
25 60 100 1283 8.86 10000 872 0 0 0 0 0 
26 60 100 1373 9.07 10000 2395 0 0 0 0 0 
27 60 100 1266 9.15 10000 8970 0 0 0 0 0 
28 60 100 1564 9.03 10000 2079 0 0 0 0 0 
29 60 100 1428 9.14 10000 79 0 0 0 0 0 
30 60 100 1554 8.89 10000 618 0 0 0 0 0 
31 80 100 1920 14.62 10000 8155 0 0 1.23 0 0 
32 80 100 2050 14.54 10000 5639 0 0 0 0 0 
33 80 100 1795 14.33 10000 3482 0 0 0 0 0 
34 80 100 1791 14.85 10000 6119 0 0 0 0 0 
35 80 100 2322 14.8 10000 607 0 0 0 0 0 
36 80 100 1954 14.79 10000 9988 0 0 0 0 0 
37 80 100 1957 14.67 10000 5908 0 0 0 0 0 
38 80 100 2050 14.86 10000 1784 0 0 0 0 0 
39 80 100 1988 14.4 10000 9361 0 0 0 0 0 
40 80 100 2183 14.79 10000 5389 0 0 0 0 0 
41 100 100 2360 22.35 10000 3680 0 0 0.73 0 0 
42 100 100 2370 21.58 10000 8370 0 0 0.39 0 0 
43 100 100 2132 22.27 10000 2473 0 0 0 0 0 
44 100 100 2654 22.19 10000 4857 0 0 0 0 0 
45 100 100 2494 21.65 10000 1856 0 0 0 0 0 
46 100 100 2350 22.1 10000 9604 0 0 0 0 0 
47 100 100 2368 21.93 10000 6223 0 0.01 0 0 0 
48 100 100 2562 21.12 10000 1522 0 0 0 0 0 
49 100 100 2434 21.46 10000 2494 0 0 0 0 0 
50 100 100 2842 22.62 10000 3154 0 0 0 0 0 

Mon Oct 10 15:06:37 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 506 1.64 10000 828 0 0 8.19 0 0 
2 20 100 517 1.56 10000 563 0 0 0 0 0 
3 20 100 474 1.53 10000 5409 0 0 5.42 0 0 
4 20 100 552 1.55 10000 5 0 0 0 0 0 
5 20 100 461 1.59 10000 5005 0 0 0 0 0 
6 20 100 500 1.65 10000 2166 0 0 0 0 0 
7 20 100 363 1.46 10000 4 0 0 0 0 0 
8 20 100 441 1.43 10000 59 0 0 0 0 0 
9 20 100 549 1.54 10000 218 0 0 0 0 0 
10 20 100 329 1.52 10000 1507 0 0 0 0 0 
11 40 100 1018 3.87 10000 248 0 0 2.84 0 0 
12 40 100 1141 3.88 10000 3133 0 0 2.05 0 0 
13 40 100 931 4.2 10000 1793 0 0 0 0 0 
14 40 100 1057 3.76 10000 2878 0 0 0 0 0 
15 40 100 763 4.1 10000 4427 0 0 0 0 0 
16 40 100 997 4.07 10000 1839 0 0 0 0 0 
17 40 100 939 3.81 10000 5258 0 0 0 0 0 
18 40 100 983 4.02 10000 5255 0 0 0 0 0 
19 40 100 827 4 10000 6031 0 0 0 0 0 
20 40 100 1110 3.82 10000 269 0 0 0 0 0 
21 60 100 1536 7 10000 4775 0 0 2.42 0 0 
