Mon Aug 15 16:22:49 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  100 0.02 1000   62 0.01    0    0%  478  478    0
   2   20  100 0.02 1000    1    0    0    0%  459  459    0
   3   20  100 0.01 1000  151 0.02 0.04   80%  437  426  426
   4   20  100 0.02 1000    2    0    0    0%  648  648    0
   5   20  100 0.02 1000    1    0    0    0%  544  544    0
   6   20  100 0.02 1000    4    0    0    0%  503  503    0
   7   20  100 0.02 1000   65    0    0    0%  372  372    0
   8   20  100 0.02 1000    1    0    0    0%  605  605    0
   9   20  100 0.02 1000    1    0    0    0%  591  591    0
  10   20  100 0.02 1000  488 0.02 0.04   50%  404  380  380
  11   40  100 0.03 1000    4 0.02    0  100%  948  948    0
  12   40  100 0.03 1000   75 0.03    0   33% 1187 1187    0
  13   40  100 0.03 1000  264 0.04 0.09   15%  923  900  900
  14   40  100 0.03 1000    8 0.01 0.14    7% 1366 1335 1335
  15   40  100 0.03 1000  409 0.04 0.08   18%  926  903  903
  16   40  100 0.03 1000  367 0.04  0.1   28% 1060 1059 1059
  17   40  100 0.04 1000    7 0.01    0    0% 1104 1104    0
  18   40  100 0.04 1000   16 0.02 0.14   12% 1077 1072 1072
  19   40  100 0.04 1000  287 0.02    0    0%  789  789    0
  20   40  100 0.04 1000    1    0    0    0% 1250 1250    0
  21   60  100 0.06 1000    3 0.03    0   33% 1694 1694    0
  22   60  100 0.06 1000  190 0.09 0.49   18% 1373 1320 1320
  23   60  100 0.05 1000   15 0.03  0.6    9% 1657 1641 1641
  24   60  100 0.07 1000  350 0.06    0   83% 1423 1423    0
  25   60  100 0.06 1000   45 0.03    0   50% 1420 1420    0
  26   60  100 0.06 1000   10 0.01    0    0% 1459 1459    0
  27   60  100 0.06 1000   29 0.02    0  100% 1459 1459    0
  28   60  100 0.07 1000  249 0.03 0.42   13% 1668 1667 1667
  29   60  100 0.07 1000   72  0.1 0.56   18% 1446 1384 1384
  30   60  100 0.06 1000  600 0.09 0.49   22% 1792 1783 1783
  31   80  100 0.09 1000  498 0.17 1.97   10% 2025 1996 1996
  32   80  100 0.09 1000  125 0.05    0   80% 2439 2439    0
  33   80  100 0.09 1000  345  0.1 1.42    8% 1995 1994 1994
  34   80  100 0.09 1000  769 0.08    0   75% 2091 2091    0
  35   80  100 0.09 1000    5 0.02    0  100% 2304 2304    0
  36   80  100 0.09 1000  149 0.12    0   33% 2201 2201    0
  37   80  100 0.09 1000   21 0.06 1.38    6% 2345 2339 2339
  38   80  100 0.09 1000   47 0.07    0   57% 2202 2202    0
  39   80  100 0.09 1000   25 0.12 1.52    9% 2303 2293 2293
  40   80  100 0.09 1000  399 0.05  2.5    3% 2350 2349 2349
