Mon Aug 15 16:26:57 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  100 0.02 1000   83 0.05    0  100%  547  547    0
   2   20  100 0.02 1000   75 0.04  0.2   95%  265  257  257
   3   20  100 0.02 1000  401 0.04 0.03   85%  390  376  376
   4   20  100 0.03 1000   41 0.02 0.03  100%  382  376  376
   5   20  100 0.02 1000    5 0.08  0.2   92%  341  327  327
   6   20  100 0.02 1000  471 0.06 0.15   90%  326  316  316
   7   20  100 0.02 1000  488 0.02  0.4   78%  425  417  417
   8   20  100 0.02 1000  116  0.1 0.15   72%  202  196  196
   9   20  100 0.02 1000   98 0.03 0.04   85%  469  462  462
  10   20  100 0.03 1000  491 0.12 0.11   91%  213  197  197
  11   40  100 0.04 1000  216 0.13 0.08   70%  767  741  741
  12   40  100 0.04 1000  100 0.29 0.43   77%  713  675  675
  13   40  100 0.05 1000  299 0.13 0.05   61%  860  837  837
  14   40  100 0.04 1000  570 0.42 0.58   85%  577  553  553
  15   40  100 0.05 1000  670 0.71  0.5   84%  555  507  507
  16   40  100 0.04 1000   72 0.39 0.18   78%  520  502  502
  17   40  100 0.04 1000  800 0.34 0.44   83%  652  611  611
  18   40  100 0.04 1000  799 0.19 0.12   64%  663  638  638
  19   40  100 0.04 1000  709 0.12 0.05   68%  779  735  735
  20   40  100 0.04 1000  996 0.23 0.07   83%  785  747  747
  21   60  100 0.08 1000  416 0.75  1.2   77% 1085 1043 1043
  22   60  100 0.07 1000  671  0.3 0.12   66% 1165 1148 1148
  23   60  100 0.07 1000  725 0.73 0.54   81% 1081 1038 1038
  24   60  100 0.08 1000  624 0.71 0.32   72%  733  698  698
  25   60  100 0.08 1000  775 1.04 0.36   81%  770  724  724
  26   60  100 0.06 1000  275 0.32 0.16   59% 1218 1200 1200
  27   60  100 0.07 1000  649 1.46 1.12   79%  949  900  900
  28   60  100 0.07 1000  948 0.56 0.92   73%  962  921  921
  29   60  100 0.07 1000  396 1.18 1.01   84%  840  792  792
  30   60  100 0.08 1000  924 0.71 0.75   75%  768  731  731
  31   80  100 0.11 1000  142 1.43 2.24   69% 1258 1187 1187
  32   80  100 0.12 1000  373 1.83 2.11   74% 1038  979  979
  33   80  100 0.11 1000  548 1.89 0.99   80% 1062 1013 1013
  34   80  100 0.11 1000  746 0.96 0.54   62% 1383 1307 1307
  35   80  100 0.11 1000  422 0.85 0.37   70% 1355 1313 1313
  36   80  100  0.1 1000  298 1.66 1.92   75% 1309 1230 1230
  37   80  100 0.11 1000  600 1.77 2.88   66% 1390 1346 1346
  38   80  100 0.11 1000  171 1.07 1.25   66%  975  938  938
  39   80  100 0.11 1000  248 2.32 2.14   79% 1237 1161 1161
  40   80  100 0.11 1000  592 0.53 0.28   56% 1420 1386 1386
  41  100  100 0.15 1000  225 2.19 3.45   61% 1441 1361 1361
  42  100  100 0.16 1000  396 1.63 2.48   62% 1525 1461 1461
  43  100  100 0.16 1000 1000 2.66 2.33   65% 1591 1495 1495
  44  100  100 0.15 1000  396 1.86 0.82   65% 1722 1659 1659
  45  100  100 0.16 1000  569 2.21 2.04   62% 1751 1668 1668
  46  100  100 0.17 1000  400 1.57 3.51   64% 1275 1216 1216
  47  100  100 0.15 1000  599 2.26 4.04   62% 1350 1286 1286
  48  100  100 0.15 1000  950 0.95 0.77   58% 1800 1734 1734
  49  100  100 0.15 1000  243  2.1 3.74   62% 1555 1509 1509
  50  100  100 0.14 1000  670 2.51  3.2   69% 1504 1418 1418

Fri Sep 30 18:39:54 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 547 2.34 100000 20 0 0 2.56 0 0 
2 20 100 264 2.6 100000 22261 0 0 3.84 0 0 
3 20 100 387 2.61 100000 29487 0 0 3.4 0 0 
4 20 100 376 2.56 100000 131 0 0 0 0 0 
5 20 100 334 2.8 100000 1024 0 0 0 0 0 
6 20 100 324 2.58 100000 14244 0 0 0 0 0 
7 20 100 420 2.56 100000 95 0 0 0 0 0 
8 20 100 202 3.16 100000 1039 0 0 0 0 0 
9 20 100 469 2.56 100000 19 0 0 0 0 0 
10 20 100 208 3.05 100000 16354 0 0 0 0 0 
11 40 100 749 5.04 100000 3929 0 0 3.28 0 0 
12 40 100 696 5.4 100000 13311 0 0 1.69 0 0 
13 40 100 838 5.21 100000 6686 0 0 0 0 0 
14 40 100 572 5.72 100000 1041 0 0 0 0 0 
15 40 100 530 6.07 100000 29712 0 0 1.39 0 0 
16 40 100 517 5.58 100000 48070 0 0 0 0 0 
17 40 100 645 5.88 100000 17370 0 0 0 0 0 
18 40 100 654 4.9 100000 1151 0 0 0 0 0 
19 40 100 735 4.88 100000 43 0 0 0 0 0 
20 40 100 757 5.26 100000 10050 0 0 0 0 0 
21 60 100 1072 8.99 100000 57150 0 0 2.43 0 0 
22 60 100 1153 8.35 100000 4537 0 0 0 0 0 
23 60 100 1066 8.86 100000 63731 0 0 0.86 0 0 
24 60 100 721 9.43 100000 799 0 0 0 0 0 
25 60 100 750 9.41 100000 38993 0 0 0 0 0 
