Mon Aug 15 16:15:00 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20   10 0.01 1000   20 0.02    0    0%   70   70    0
   2   20   10 0.01 1000  426 0.04 0.03   57%   46   44   44
   3   20   10 0.02 1000   41 0.02 0.02   25%   73   72   72
   4   20   10 0.01 1000  120 0.03 0.05   75%   49   47   47
   5   20   10 0.02 1000  228 0.04 0.05   87%   56   54   54
   6   20   10 0.01 1000  153 0.02 0.03   49%   78   77   77
   7   20   10 0.02 1000  299 0.02 0.04   50%   55   54   54
   8   20   10 0.02 1000   68 0.02 0.03   25%   53   52   52
   9   20   10 0.01 1000   44 0.02    0   50%   69   69    0
  10   20   10 0.02 1000  587 0.03    0   33%   69   69    0
  11   40   10 0.03 1000   75 0.09 0.11   52%   94   91   91
  12   40   10 0.03 1000  173 0.09 0.11   60%  110  108  108
  13   40   10 0.03 1000  144 0.08 0.08   31%  146  145  145
  14   40   10 0.03 1000   21 0.06 0.11   35%  131  129  129
  15   40   10 0.04 1000  924 0.08 0.09   41%  142  140  140
  16   40   10 0.04 1000   20 0.04 0.07   27%  122  121  121
  17   40   10 0.04 1000   21 0.06 0.12   38%  111  109  109
  18   40   10 0.03 1000    2 0.02    0  100%  169  169    0
  19   40   10 0.04 1000  141 0.07 0.14   33%  106  102  102
  20   40   10 0.03 1000  143 0.09 0.09   47%  108  103  103
  21   60   10 0.06 1000   25 0.08    0   75%  217  217    0
  22   60   10 0.06 1000  799 0.12    0   91%  181  181    0
  23   60   10 0.06 1000   20 0.09    0   44%  194  194    0
  24   60   10 0.06 1000   17 0.06    0   66%  209  209    0
  25   60   10 0.06 1000   93 0.16 0.53   41%  171  165  165
  26   60   10 0.06 1000   16 0.13 0.52   32%  171  168  168
  27   60   10 0.06 1000  573 0.18 0.26   47%  152  150  150
  28   60   10 0.06 1000   47 0.11    0   72%  196  196    0
  29   60   10 0.05 1000  918 0.15 0.48   33%  177  175  175
  30   60   10 0.05 1000   23 0.08    0   62%  230  230    0
  31   80   10 0.09 1000   97 0.19    0   52%  240  240    0
  32   80   10 0.08 1000   66 0.15    0   46%  254  254    0
  33   80   10 0.09 1000   18  0.1    0   50%  265  265    0
  34   80   10 0.08 1000   24 0.13    0   61%  261  261    0
  35   80   10 0.08 1000   25 0.19    0   42%  245  245    0
  36   80   10 0.08 1000   70 0.18    0   55%  263  263    0
  37   80   10 0.08 1000   19 0.12    0   75%  289  289    0
  38   80   10 0.08 1000   22 0.14    0   42%  282  282    0
  39   80   10 0.08 1000  142 0.19 1.81   16%  286  282  282
  40   80   10 0.08 1000  473 0.26  0.9   18%  250  245  245
  41  100   10 0.11 1000  766  0.4 2.57   21%  278  274  274
  42  100   10 0.11 1000  371 0.37 3.08   14%  310  306  306
  43  100   10 0.11 1000  225 0.48 2.72   23%  269  267  267
  44  100   10 0.11 1000   68  0.4 2.62   15%  296  293  293
  45  100   10 0.11 1000  716 0.32 3.17   13%  310  309  309
  46  100   10 0.11 1000   23 0.23    0   65%  355  355    0
  47  100   10 0.11 1000  221 0.41 3.21   16%  278  276  276
  48  100   10 0.11 1000  398 0.41 2.84   16%  318  315  315
  49  100   10 0.11 1000  442 0.41 3.21   19%  304  300  300
  50  100   10 0.11 1000  122 0.29 3.29    9%  355  353  353

Wed Sep 28 15:41:20 2005
 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20   10 0.22 10000   15    0    0   99%   70    0    0
   2   20   10 0.23 10000 4903    0    0   99%   45    0    0
   3   20   10 0.23 10000   29    0    0   99%   73    0    0
   4   20   10 0.24 10000  166    0    0   99%   49    0    0
   5   20   10 0.24 10000   38    0    0   99%   56    0    0
   6   20   10 0.24 10000   27    0    0   99%   78    0    0
   7   20   10 0.24 10000 4624    0    0   99%   55    0    0
   8   20   10 0.24 10000   23    0    0   99%   52    0    0
   9   20   10 0.22 10000   16    0    0   99%   69    0    0
  10   20   10 0.24 10000   36    0    0   99%   69    0    0
  11   40   10 0.45 10000   20    0    0   99%   92    0    0
  12   40   10 0.45 10000 1085    0    0   99%  109    0    0
  13   40   10 0.44 10000   16    0    0   99%  145    0    0
  14   40   10 0.43 10000   32    0    0   99%  129    0    0
  15   40   10 0.44 10000   57    0    0   99%  140    0    0
  16   40   10 0.46 10000   14    0    0   99%  122    0    0
  17   40   10 0.45 10000   28    0    0   99%  109    0    0
  18   40   10 0.46 10000    3    0    0   99%  169    0    0
  19   40   10 0.44 10000 3037    0    0   99%  102    0    0
  20   40   10 0.44 10000  184    0    0   99%  104    0    0
  21   60   10 0.71 10000  392    0    0   99%  217    0    0
  22   60   10  0.7 10000 3871    0    0   99%  182    0    0
  23   60   10 0.68 10000   12    0    0   99%  194    0    0
  24   60   10 0.71 10000   39    0    0   99%  209    0    0
  25   60   10 0.74 10000 5718    0    0   99%  166    0    0
  26   60   10 0.67 10000  637    0    0   99%  169    0    0
  27   60   10 0.71 10000   43    0    0   99%  151    0    0
  28   60   10  0.7 10000   12    0    0   99%  196    0    0
  29   60   10 0.69 10000  259    0    0   99%  176    0    0
  30   60   10 0.67 10000   11    0    0   99%  230    0    0
  31   80   10    1 10000   21    0    0   99%  240    0    0
  32   80   10 0.98 10000   21    0    0   99%  254    0    0
  33   80   10    1 10000   12    0    0   99%  265    0    0
  34   80   10 0.98 10000   12    0    0   99%  261    0    0
  35   80   10 0.97 10000   26    0    0   99%  245    0    0
  36   80   10 0.98 10000   24    0    0   99%  263    0    0
  37   80   10    1 10000   11    0    0   99%  289    0    0
  38   80   10 0.96 10000   30    0    0   99%  282    0    0
  39   80   10 0.97 10000  187    0    0   99%  283    0    0
