Mon Aug 15 16:18:10 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  100 0.02 1000  177 0.08 0.12   89%   75   69   69
   2   20  100 0.02 1000  598 0.09 0.06   64%   44   42   42
   3   20  100 0.02 1000  142 0.05 0.08   69%   78   71   71
   4   20  100 0.02 1000  242 0.07 0.08   73%   54   50   50
   5   20  100 0.02 1000   21 0.08 0.18   69%   60   56   57
   6   20  100 0.02 1000   49 0.09 0.32   79%   83   77   78
   7   20  100 0.02 1000  342  0.1 0.09   77%   58   55   55
   8   20  100 0.02 1000  148 0.06 0.24   79%   55   52   53
   9   20  100 0.02 1000  170 0.08 0.11  100%   73   68   68
  10   20  100 0.02 1000   99 0.07 0.26   81%   79   74   76
  11   40  100 0.05 1000  122 0.22 0.22   88%   94   90   90
  12   40  100 0.05 1000  598 0.17 0.26   79%  120  114  114
  13   40  100 0.05 1000  667 0.22 0.24   67%  153  146  146
  14   40  100 0.05 1000  293 0.23 0.19   78%  138  132  132
  15   40  100 0.05 1000  671 0.19 0.22   67%  160  152  152
  16   40  100 0.05 1000   50 0.19 0.16   79%  118  112  112
  17   40  100 0.05 1000  418  0.2 0.25   84%  121  117  117
  18   40  100 0.05 1000  746 0.24 0.19   76%  167  160  160
  19   40  100 0.05 1000  966 0.23 0.22   80%  112  108  108
  20   40  100 0.05 1000  169 0.19 0.19   68%  115  108  108
  21   60  100 0.09 1000  499 0.41 0.53   65%  226  216  216
  22   60  100 0.08 1000  150 0.37 0.41   80%  192  183  183
  23   60  100 0.09 1000  367 0.39 0.37   73%  208  197  197
  24   60  100 0.08 1000   94 0.36 0.44   68%  207  197  197
  25   60  100 0.08 1000  498  0.4 0.52   76%  181  175  175
  26   60  100 0.09 1000   45  0.4 0.46   76%  186  178  178
  27   60  100 0.08 1000  275 0.38 0.46   70%  166  160  160
  28   60  100 0.09 1000   19 0.34 0.48   69%  216  205  205
  29   60  100 0.08 1000  500 0.41 0.53   79%  193  186  186
  30   60  100 0.07 1000  519 0.43 0.47   75%  243  233  233
  31   80  100 0.12 1000  193 0.53 1.04   66%  253  243  243
  32   80  100 0.11 1000  148 0.75 0.81   64%  265  255  255
  33   80  100 0.12 1000  997  0.7 0.93   68%  259  249  249
  34   80  100 0.12 1000  293 0.65 0.77   66%  271  262  262
  35   80  100 0.12 1000  791 0.66 0.94   66%  262  250  250
  36   80  100 0.13 1000  274 0.64  1.1   63%  288  275  275
  37   80  100 0.13 1000  575 0.68 0.95   73%  303  291  291
  38   80  100 0.12 1000  375 0.64 0.98   67%  301  289  289
  39   80  100 0.12 1000  143 0.67  0.9   69%  311  298  298
  40   80  100 0.12 1000  499 0.82 1.14   57%  268  260  260
  41  100  100 0.17 1000  324 0.85 1.58   46%  300  288  288
  42  100  100 0.16 1000  168 0.88 1.54   59%  345  333  333
  43  100  100 0.17 1000  741 1.02 1.79   59%  293  283  283
  44  100  100 0.17 1000  274 1.04 1.56   60%  316  306  306
  45  100  100 0.17 1000  420 0.98 1.17   57%  337  324  324
  46  100  100 0.17 1000  974 0.98 1.68   56%  381  368  368
  47  100  100 0.17 1000  144 0.98 1.74   58%  307  295  295
  48  100  100 0.17 1000  544 1.03 1.86   58%  345  335  335
  49  100  100 0.17 1000  274 1.02 1.83   58%  325  316  316
  50  100  100 0.16 1000  150 1.07  1.9   60%  385  372  372

Fri Sep 30 17:49:26 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 72 3.41 100000 15106 0 0 5.64 0 0 
2 20 100 44 3.73 100000 125 0 0 0 0 0 
3 20 100 75 3.51 100000 5649 0 0 0 0 0 
4 20 100 52 3.84 100000 39560 0 0 2.56 0 0 
5 20 100 60 3.91 100000 992 0 0 0 0 0 
6 20 100 80 3.61 100000 49609 0 0 0 0 0 
7 20 100 58 3.62 100000 2232 0 0 0 0 0 
8 20 100 54 3.43 100000 512 0 0 0 0 0 
9 20 100 71 3.45 100000 4011 0 0 0 0 0 
10 20 100 79 3.54 100000 20 0 0.01 0 0 0 
11 40 100 92 7.42 100000 9831 0 0 2.47 0 0 
12 40 100 118 7.54 100000 2182 0 0 0 0 0 
13 40 100 150 7.23 100000 947 0 0 0 0 0 
14 40 100 136 6.95 100000 5204 0 0 0 0 0 
15 40 100 156 7.4 100000 665 0 0 0 0 0 
16 40 100 114 7.2 100000 74729 0 0 1.51 0 0 
17 40 100 119 7.64 100000 2555 0 0 0 0 0 
18 40 100 163 6.98 100000 63139 0 0 0 0 0 
19 40 100 111 7.65 100000 42372 0 0 0 0 0 
20 40 100 112 7.99 100000 51270 0 0 0 0 0 
21 60 100 222 11.24 100000 12623 0 0 1.68 0 0 
22 60 100 188 11.99 100000 9151 0 0 0 0 0 
23 60 100 202 11.49 100000 40149 0 0 0.85 0 0 
24 60 100 202 11.73 100000 39913 0 0 0 0 0 
25 60 100 179 12.53 100000 10725 0 0 0 0 0 
26 60 100 183 11.59 100000 18558 0 0 0 0 0 
27 60 100 163 11.76 100000 2000 0 0 0 0 0 
28 60 100 210 11.81 100000 20455 0 0 0 0 0 
29 60 100 190 11.85 100000 1755 0 0 0 0 0 
30 60 100 240 10.84 100000 20974 0 0 0 0 0 
31 80 100 248 16.89 100000 49526 0 0 1.28 0 0 
32 80 100 261 15.4 100000 36886 0 0 0 0 0 
33 80 100 254 16.43 100000 17819 0 0 0 0 0 
34 80 100 267 16.24 100000 4280 0 0 0 0 0 
35 80 100 256 17.05 100000 93223 0 0 0 0 0 
36 80 100 282 16.86 100000 57851 0 0 0 0 0 
37 80 100 298 16.65 100000 27479 0 0 0 0 0 
38 80 100 295 15.89 100000 7391 0 0 0 0 0 
39 80 100 305 16.14 100000 1466 0 0 0 0 0 
40 80 100 265 16.97 100000 3569 0 0 0 0 0 
41 100 100 294 23.23 100000 11170 0 0 0.8 0 0 
42 100 100 340 22.13 100000 29397 0 0 0.44 0 0 
43 100 100 288 22.93 100000 12942 0 0 0 0 0 
44 100 100 313 22.6 100000 2792 0 0 0 0 0 
45 100 100 331 22.3 100000 23767 0 0 0 0 0 
46 100 100 376 22.17 100000 33578 0 0 0 0 0 
47 100 100 301 21.37 100000 4357 0 0 0 0 0 
48 100 100 340 22.09 100000 74480 0 0 0 0 0 
49 100 100 321 22.06 100000 777 0 0 0 0 0 
50 100 100 379 21.82 100000 41196 0 0 0 0 0 

Thu Oct  6 19:15:20 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 72 0.74 10000 1133 0 0 19 0 0 
2 20 100 44 0.79 10000 334 0 0 0 0 0 
3 20 100 76 0.75 10000 1635 0 0 6.83 0 0 
4 20 100 54 0.82 10000 90 0 0 0 0 0 
5 20 100 60 0.87 10000 209 0 0 0 0 0 
6 20 100 81 0.77 10000 4762 0 0 9.37 0 0 
7 20 100 58 0.77 10000 172 0 0 0 0 0 
8 20 100 54 0.72 10000 4032 0 0 0 0 0 
9 20 100 71 0.74 10000 4674 0 0 0 0 0 
10 20 100 79 0.77 10000 58 0 0 0 0 0 
11 40 100 93 1.6 10000 2113 0 0 9.56 0 0 
12 40 100 118 1.64 10000 4930 0 0 4.84 0 0 
13 40 100 149 1.61 10000 4041 0 0 0 0 0 
14 40 100 136 1.53 10000 4926 0 0 0 0 0 
15 40 100 157 1.63 10000 2974 0 0 0 0 0 
16 40 100 115 1.56 10000 4743 0 0 0 0 0 
17 40 100 120 1.64 10000 404 0 0 0 0 0 
18 40 100 165 1.49 10000 4855 0 0 0 0 0 
19 40 100 112 1.65 10000 156 0 0 0 0 0 
20 40 100 112 1.73 10000 9148 0 0 0 0 0 
21 60 100 222 2.39 10000 3866 0 0 6.91 0 0 
22 60 100 187 2.5 10000 1398 0 0 0 0 0 
23 60 100 203 2.43 10000 4010 0 0 0 0 0 
24 60 100 203 2.44 10000 3741 0 0 0 0 0 
25 60 100 179 2.71 10000 1173 0 0 0 0 0 
26 60 100 184 2.47 10000 822 0 0 0 0 0 
27 60 100 164 2.47 10000 136 0 0 0 0 0 
