Mon Aug 15 16:16:26 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20   40 0.02 1000  271 0.03  0.1   92%  188  185  185
   2   20   40 0.02 1000    6 0.03 0.11   78%  118  113  113
   3   20   40 0.02 1000   73 0.05 0.15   73%  201  190  190
   4   20   40 0.02 1000  447 0.04 0.09   92%  141  130  130
   5   20   40 0.02 1000  166 0.08  0.1   75%  155  141  141
   6   20   40 0.02 1000   23 0.07  0.1   76%  207  195  195
   7   20   40 0.02 1000   22 0.07 0.09   81%  147  137  137
   8   20   40 0.02 1000  174 0.04  0.1  100%  140  138  138
   9   20   40 0.02 1000   44 0.05 0.09   78%  189  175  175
  10   20   40 0.02 1000   48 0.02    0  100%  206  206    0
  11   40   40 0.04 1000  144 0.16 0.23   71%  239  228  228
  12   40   40 0.04 1000  768 0.12 0.31   76%  311  299  299
  13   40   40 0.04 1000   75 0.15 0.26   78%  396  377  377
  14   40   40 0.04 1000   47 0.14 0.25   82%  360  352  352
  15   40   40 0.04 1000   21 0.13 0.32   72%  411  403  403
  16   40   40 0.04 1000   19 0.04    0   75%  347  347    0
  17   40   40 0.04 1000  647 0.12 0.34   80%  324  308  308
  18   40   40 0.04 1000   73 0.06    0   83%  464  464    0
  19   40   40 0.04 1000  249 0.22 0.29   80%  288  268  268
  20   40   40 0.05 1000  225 0.23 0.33   75%  287  270  270
  21   60   40 0.06 1000  645 0.24 0.89   61%  591  590  590
  22   60   40 0.07 1000  347 0.35 0.75   62%  494  463  463
  23   60   40 0.06 1000  625 0.45 0.53   67%  526  501  501
  24   60   40 0.07 1000  399 0.21 0.69   50%  539  524  524
  25   60   40 0.07 1000  248 0.41 0.73   63%  471  436  436
  26   60   40 0.07 1000  525 0.32 0.67   58%  477  457  457
  27   60   40 0.07 1000  497 0.28 0.66   55%  422  415  415
  28   60   40 0.07 1000  345 0.23  0.8   65%  552  526  526
  29   60   40 0.07 1000  150 0.29 0.68   66%  504  477  477
  30   60   40 0.06 1000  750 0.16 0.98   52%  652  645  645
  31   80   40  0.1 1000   99 0.32 1.66   45%  668  667  667
  32   80   40 0.09 1000  267 0.36 1.57   41%  697  695  695
  33   80   40  0.1 1000  924 0.39 1.27   50%  673  657  657
  34   80   40  0.1 1000  121 0.32 1.98   45%  711  701  701
  35   80   40  0.1 1000  866 0.72 1.29   59%  652  625  625
  36   80   40  0.1 1000  516 0.35 1.82   41%  738  735  735
  37   80   40 0.09 1000  849 0.48 1.89   53%  773  758  758
  38   80   40  0.1 1000   99 0.33    0   72%  797  797    0
  39   80   40  0.1 1000  772 0.41 1.96   44%  826  785  785
  40   80   40 0.11 1000  848 0.67 1.54   57%  689  652  652
  41  100   40 0.14 1000  250 0.92 2.46   49%  758  719  719
  42  100   40 0.13 1000  622  0.7 3.29   40%  878  854  854
  43  100   40 0.14 1000  100  1.1 2.78   50%  759  706  706
  44  100   40 0.14 1000  700 1.09 2.97   47%  789  764  764
  45  100   40 0.13 1000  699 0.51 3.04   43%  869  860  860
  46  100   40 0.13 1000  949 0.49  3.8   34% 1001  981  981
  47  100   40 0.14 1000  824 0.62 3.28   34%  787  774  774
  48  100   40 0.13 1000  475 0.96 2.49   43%  888  840  840
  49  100   40 0.15 1000  422 0.74  3.2   45%  845  811  811
  50  100   40 0.14 1000  250 0.39    0   53% 1040 1040    0

Fri Sep 30 17:42:15 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 40 186 2.37 100000 18179 0 0 8.27 0 0 
2 20 40 114 2.61 100000 46 0 0 0 0 0 
3 20 40 195 2.4 100000 31034 0 0 3.94 0 0 
4 20 40 135 2.71 100000 846 0 0 0 0 0 
5 20 40 148 2.67 100000 3714 0 0 0 0 0 
6 20 40 203 2.52 100000 1850 0 0 0 0 0 
7 20 40 146 2.54 100000 4075 0 0 0 0 0 
8 20 40 139 2.5 100000 25 0 0 0 0 0 
