Mon Aug 15 16:26:39 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  100 0.01 1000    1 0.01    0    0% 1423 1423    0
   2   20  100 0.01 1000    1 0.01    0    0%  946  946    0
   3   20  100 0.01 1000   20 0.01    0  100% 1076 1076    0
   4   20  100 0.02 1000    1    0    0    0% 1180 1180    0
   5   20  100 0.02 1000    1    0    0    0% 1269 1269    0
   6   20  100 0.02 1000    4 0.01    0  100% 1156 1156    0
   7   20  100 0.02 1000   20 0.01    0  100%  730  730    0
   8   20  100 0.02 1000    4 0.01    0  100% 1068 1068    0
   9   20  100 0.02 1000    1    0    0    0% 1250 1250    0
  10   20  100 0.02 1000    5 0.01    0  100%  970  970    0
  11   40  100 0.04 1000  219 0.02 0.09   27% 1910 1907 1907
  12   40  100 0.03 1000    1 0.01    0    0% 2406 2406    0
  13   40  100 0.04 1000    3 0.02    0   50% 2257 2257    0
  14   40  100 0.04 1000    4 0.01    0  100% 2419 2419    0
  15   40  100 0.04 1000   45 0.04    0   75% 2083 2083    0
  16   40  100 0.04 1000    1 0.01    0  100% 2330 2330    0
  17   40  100 0.04 1000   20 0.02    0   50% 1896 1896    0
  18   40  100 0.04 1000    1    0    0    0% 2199 2199    0
  19   40  100 0.04 1000   18 0.03  0.1   30% 1734 1731 1731
  20   40  100 0.04 1000    1    0    0    0% 2672 2672    0
  21   60  100 0.06 1000   18 0.05    0   75% 3622 3622    0
  22   60  100 0.05 1000   22 0.03    0   66% 3550 3550    0
  23   60  100 0.06 1000   12 0.02    0  100% 3719 3719    0
  24   60  100 0.06 1000    1 0.01    0  100% 3440 3440    0
  25   60  100 0.06 1000    1 0.02    0  100% 3146 3146    0
  26   60  100 0.06 1000   23 0.06    0   50% 2902 2902    0
  27   60  100 0.07 1000    4 0.03    0  100% 3217 3217    0
  28   60  100 0.06 1000    2 0.01    0  100% 3626 3626    0
  29   60  100 0.06 1000   21 0.05    0   80% 3296 3296    0
  30   60  100 0.06 1000   20 0.04    0  100% 3586 3586    0
  31   80  100 0.09 1000   14 0.05    0   80% 4481 4481    0
  32   80  100 0.09 1000   18 0.07    0   85% 4555 4555    0
  33   80  100  0.1 1000    1 0.05    0   40% 4491 4491    0
  34   80  100 0.09 1000    8 0.06    0  100% 4409 4409    0
  35   80  100 0.08 1000   10 0.03    0   66% 4792 4792    0
  36   80  100 0.09 1000   13 0.05    0   60% 4800 4800    0
  37   80  100 0.09 1000   16 0.06    0   66% 4828 4828    0
  38   80  100 0.09 1000   11 0.03    0   66% 4673 4673    0
  39   80  100  0.1 1000   17 0.11    0   45% 4110 4110    0
  40   80  100 0.09 1000   22 0.04 2.49    4% 4742 4705 4705
  41  100  100 0.13 1000   19  0.1    0   60% 5613 5613    0
  42  100  100 0.13 1000   21 0.24    0   83% 5066 5066    0
  43  100  100 0.14 1000   23  0.1    0   80% 5217 5217    0
  44  100  100 0.13 1000   23 0.05    0   60% 5858 5858    0
  45  100  100 0.13 1000   18 0.16    0   56% 4956 4956    0
  46  100  100 0.13 1000   25 0.14    0   71% 5754 5754    0
  47  100  100 0.13 1000   14 0.09    0   88% 5179 5179    0
  48  100  100 0.12 1000   19 0.08 6.59    3% 5821 5784 5784
  49  100  100 0.12 1000   21 0.19    0   77% 5148 5148    0
  50  100  100 0.12 1000   20 0.12    0   91% 5737 5737    0

Fri Sep 30 18:33:36 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 1423 1.97 100000 1 0 0 0 0 0 
2 20 100 946 2 100000 2 0 0 0.34 0 0 
3 20 100 1076 2.03 100000 17 0 0 1.33 0 0 
4 20 100 1180 2.03 100000 2 0 0 0 0 0 
5 20 100 1269 2.23 100000 1 0 0 0 0 0 
6 20 100 1156 2.07 100000 3 0 0 0 0 0 
7 20 100 730 2.32 100000 11 0 0 0 0 0 
8 20 100 1068 2.17 100000 3 0 0 0 0 0 
9 20 100 1250 2.06 100000 1 0 0 0 0 0 
10 20 100 970 2.28 100000 4 0 0 0 0 0 
11 40 100 1910 4.11 100000 144 0 0 2.41 0 0 
12 40 100 2406 4.08 100000 3 0 0 0 0 0 
13 40 100 2257 4.4 100000 2 0 0 0 0 0 
14 40 100 2419 4.36 100000 3 0 0 0 0 0 
15 40 100 2083 4.44 100000 12 0 0 0 0 0 
16 40 100 2330 4.22 100000 1 0 0 0 0 0 
17 40 100 1896 4.84 100000 11 0 0 0 0 0 
18 40 100 2199 4.12 100000 1 0 0 0 0 0 
19 40 100 1734 4.39 100000 199 0 0 0.71 0 0 
20 40 100 2672 3.82 100000 1 0 0 0 0 0 
21 60 100 3622 6.79 100000 13 0 0 0.75 0 0 
22 60 100 3550 6.92 100000 11 0 0 0 0 0 
23 60 100 3719 6.78 100000 11 0 0 0 0 0 
24 60 100 3440 7.01 100000 1 0 0 0 0 0 
25 60 100 3146 7.24 100000 1 0 0 0 0 0 
26 60 100 2902 6.98 100000 12 0 0 0 0 0 
27 60 100 3217 7.11 100000 3 0 0 0 0 0 
28 60 100 3626 6.81 100000 1 0 0 0 0 0 
29 60 100 3296 6.83 100000 13 0 0 0 0 0 
30 60 100 3586 7.32 100000 12 0 0 0 0 0 
31 80 100 4481 10.36 100000 13 0 0 0.49 0 0 
32 80 100 4555 10.17 100000 11 0 0 0 0 0 
33 80 100 4491 10.51 100000 10 0 0 0 0 0 
34 80 100 4409 10.35 100000 7 0 0 0 0 0 
35 80 100 4792 9.81 100000 9 0 0 0 0 0 
36 80 100 4800 9.86 100000 13 0 0 0 0 0 
37 80 100 4828 10.48 100000 11 0 0 0 0 0 
38 80 100 4673 10.03 100000 1 0 0 0 0 0 
39 80 100 4110 10.88 100000 11 0 0 0 0 0 
40 80 100 4742 9.68 100000 14 0 0 0 0 0 
41 100 100 5613 14.1 100000 11 0 0 0.34 0 0 
42 100 100 5066 14.65 100000 15 0 0 0.1 0 0 
43 100 100 5217 14.63 100000 14 0 0 0 0 0 
44 100 100 5858 13.65 100000 11 0 0 0 0 0 
45 100 100 4956 14.8 100000 14 0 0 0 0 0 
46 100 100 5754 14.61 100000 13 0 0 0 0 0 
47 100 100 5179 13.77 100000 13 0 0 0 0 0 
48 100 100 5821 13.49 100000 11 0 0 0 0 0 
